"","n","Date","Course","Horse","Stake","Result","Result_comment","Price_taken","sp","win_total","pl_total","bet_profit_loss","running_profit_loss","cumulative_stake","win_percent_strike","profit_loss_percent_strike","win_percent_profit","comments","Price_taken_dec","SP_dec"
"270",270,2022-09-07,"Doncaster","Equilateral",100,0,"unpl","11/4","11/4",65,143,-100,13367.6,27000,24.0740740740741,52.962962962963,49.5096296296296,"Skinny,  but has this on a plate if anywhere near his best. Possible track position excuses lto but in a Group 2, as he was before that when third to top class horses at the Curragh prior. Down to listed with a rail draw he has plenty in his favour.
An inexplicably bad run - just an abheration. Travelled to half way but he never picked up and beat just one. Nothing to say really except this is a horse that will get beat despite being dealt a good hand. He's done it before.",3.8,3.8
"271",271,2022-09-08,"Laytown","Bringsty",100,1,"Won*","20/1","11/1",66,144,2000,15367.6,27100,24.3542435424354,53.1365313653137,56.7070110701107,"Looks well overpriced in a claimer based on net 54. Ran in 80 grade hcp last time off 65 & before that was favourite for a claimer off a mark off 67 and got no run at all. He's raced over much further of late and may need more use made but is risked at this price.
A few cottoned onto this with late cash coming. The mark was everything. Missed the break and looked outpaced early but he was galloping all over them at half way and was well on top at the line. Best at wts ignoring last mark drop.",21,12
"272",272,2022-09-10,"Leopardstown","Easy",100,0,"unpl","5.3ex","100/30",66,144,-100,15267.6,27200,24.2647058823529,52.9411764705882,56.1308823529412,"Open listed race that looks ripe for an improver. This big imposing filly was hugely impressive winning her maiden, all over her rivals, powering clear with a real soft ground action. Has to step up on bare form and longer trip, but looks potentially smart.
Broke far too many rules here, ignored figures, outside draw, 2yo 2nd run, and a maiden winner stepping up to listed+. Got what I deserved. The draw was the main factor. Saying there's no bias is ridiculous",5.3,4.3
"273",273,2022-09-10,"Leopardstown","Point King",100,0,"unpl","5.6ex","7/2",66,144,-100,15167.6,27300,24.1758241758242,52.7472527472528,55.5589743589744,"Top rated has the right level of form but is exposed in a race that often goes to a progressive 3yo. This one fits the bill. Didn't need to improve much lto to win a listed but looking set for better things. A real galloper who should be strong at the line back to 12f.
Did it again. Abandoning rules in listed and group 3 races. Was beaten at the three pole and faded right away to finish last. Might have had a problem. Wouldn't have had the winner but the obvious option was btn a nose.",5.6,4.5
"274",274,2022-09-11,"Chepstow","Luxy Lou",100,0,"unpl","25/1","16/1",66,144,-100,15067.6,27400,24.0875912408759,52.5547445255474,54.9912408759124,"This filly is ETB, 0-20, and has no form on the ground but debut for new yard lto over 1f shorter at this track, was better than of late after tumbling in the wts for old connections. Backed & doing good late work, btn only by a CD specialist. Looks overpriced.
Never got near the lead. This was speculative but the lack of interest in the market told its tale and has to go down as a really disappointing bet. Hard to say I misread this - may have been the ground; more likely just another hcp dud.",26,17
"275",275,2022-09-16,"Downpatrick","Ingenious Stroke",100,1,"Won*","100/30*","100/30",67,145,334,15401.6,27500,24.3636363636364,52.7272727272727,56.0058181818182,"Just about the best hdlr though a couple made better chase debuts. But as a lightly raced De Bromhead ptp winner whose 1st hurdles mark was 106, higher than ceiling for this, he now creeps into the 102 max for this.  Percentage call to improve for fences.
Drifting all the time but  raced on the pace and looked in control before idling and challenged on two sides, looking like he might not last home;  then pulled out more to win a shade cosily.",4.3,4.3
"276",276,2022-09-17,"Navan","Old Bill Barley",100,0,"unpl","7/2","3/1",67,145,-100,15301.6,27600,24.2753623188406,52.536231884058,55.4405797101449,"Just about wins this on bumper form, though a bit below that in a couple of hurdles outings. But has looked unsuited by right handed tight tracks and now gets the TF recommended left handed galloping opportunity. Improvement anticipated.
They don't run any worse than this. Clumsy over the first and on he back foot after. Never went a yard. Mistakes all the way and just can't jump. Gradually lost touch and pulled up.",4.5,4
"277",277,2022-09-17,"Newbury","Chil Chil",100,0,"unpl","6/1","5/1",67,145,-100,15201.6,27700,24.187725631769,52.3465703971119,54.8794223826715,"A tight race. Fav progressive but not beat much yet. Not at best this year but brought to peak for the Haydock G1 lto but isolated on outside. Travelled smoothly last off bridle against better horses. Drop back to extended 5f in a G3 looks ripe for her.
Should have stayed out of this. Far too competitive. She wasn't travelling like she did over six and probably would have done better at that trip. Didn't have the cleanest of runs away from the action, running on in 5th.",7,6
"278",278,2022-09-17,"Navan","Riaan",100,2,"2nd","11/4","2/1",67,146,-100,15101.6,27800,24.1007194244604,52.5179856115108,54.3223021582734,"Better needed but opposition looks beatable and he caught the eye in no uncertain terms on debut when 4th at Galway. Well bred and given a very easy time off the pace on heavy ground and stayed on into 4th with running left. Extra half mile should suit.
The improvement came but not quite good enough, the only realistic danger backed into favourite and got the better of the duel from the last. Raced prominently, a bit keener than ideal and that might have burned the finish.",3.8,3
"279",279,2022-09-19,"Fairyhouse","Skip James",100,2,"2nd","5/1","5/1",67,147,-100,15001.6,27900,24.0143369175627,52.6881720430108,53.7691756272401,"A quality 2yo claimer. This Lyons runner doesn’t have a hcp mark & floppped lto on heavy when upset in stalls. If those excuses are valid he'd be something to bet on based on debut when a case for rating him well above the rest can be made.
Agonising. Never looked like winning after a poor start and pushed along most of the way. But took off from the two pole and was absolutely flying home just failing to get up on the line, in front a stride after. Should have won.",6,6
"280",280,2022-09-19,"Fairyhouse","Deneuve",100,0,"unpl","16.5ex","14/1",67,147,-100,14901.6,28000,23.9285714285714,52.5,53.22,"A'OB filly who ran to a level on debut that interpolates to a winning chance at listed level, albeit a loose calculation. Not ready for G3, well btn by a G1 winning colt  next time. She's had 4 months to strengthen up  and at the price is a sporting bet.
Should have bailed as the market was screaming no. But I let it ride cos it was Coolmore but it proved accurate as she walked out of the stalls and had no chance at any stage. Regarless of the start she was clueless and trailed in last.",16.5,15
"281",281,2022-09-21,"Listowel","Life In The Park",100,1,"Won*","9/4","11/8",68,148,225,15126.6,28100,24.1992882562278,52.6690391459075,53.8313167259787,"Bit to find on hurdles figures but fav looks to have a touch of the slows, so is taken to realise chasing potential at fist try. A typical De Bromhead classy prospect his two progressive hurdles wins were likely a precurser to his real job.
Fav at the off & market rival ran badly. Nevertheless, he was pretty impressive, keen and going slightly right he was full of running at the line. DeBromhead's can just need a run but the market suggested he wouldn't and he was fit.",3.2,2.4
"282",282,2022-09-22,"Perth","Bridge Road",100,0,"unpl","13/2","4/1",68,148,-100,15026.6,28200,24.113475177305,52.4822695035461,53.2858156028369,"Has looked a staying hcp project but btn 4 times in that sphere at 20f, possible excuses, lame 1st time, virtual flat race next, then a steady pace against him. Btn by hcp blot lto. Doing nothing wrong & now gets a welcome 3m and Jennie Candlish has hit form.
Seemed to be going well for most of the race but went from cruising to losing in a few strides, pushed along from two out and never threatening up the straight. Not beaten far but no improvement for the step up and will struggle now.",7.5,5
"283",283,2022-09-23,"Newmarket","Zanbaq",100,1,"Won*","9/2","100/30",69,149,450,15476.6,28300,24.3816254416961,52.6501766784452,54.6876325088339,"Taking on two progressive fillies stepping up from hcps but has comfortably the best chance on BHA nos. Stopped in her run lto when fav in a G3. Didn't do much once in clear but  her chance was gone by then. Stable red hot and is chanced back in listed co.
Had the right 3 under the microscope and the winner  held off a strong late challenge. Always in the front two she travelled well and was resolute once the others started to surround her. Not a lot left at the line but good enough.",5.5,4.3
"284",284,2022-09-24,"Listowel","Art Of Silence",100,0,"UR","9/2","7/2",69,149,-100,15376.6,28400,24.2957746478873,52.4647887323944,54.1429577464789,"Connections are poor, so a dilemma. But two figures in bumpers beat anything in this field, a win an a 3rd under a penalty for an improved score. A willing attitude saw off challengers for his win and that's a positive trait for what looks a weak maiden.
Jockey untidy and lost a good early pitch then the horse got rid of him earlyish. The unraced winner was ridden by Blackmore despite De Bromhead having a runner, though the rider was retained on that one. Hint was there though.",5.5,4.5
"285",285,2022-09-26,"Roscommon","Elusive Sea",100,0,"unpl","11/1","10/1",69,149,-100,15276.6,28500,24.2105263157895,52.280701754386,53.6021052631579,"Speculative. Two with better hdles numbers & one with better bumper form, but they are all risky. Has 2nd best bumper nos that beat the two hurdlers, so chanced at the price. Looked set to go close lto, late error cost her and drop in trip a +ve.
As bad as they get. She finished but was effectively pulled up. Struggling a long way from home. She was slow at every flight, ridden away each time. Hard to say where this abject display came from but the price was conspicuous.",12,11
"286",286,2022-09-26,"Roscommon","Sole Pretender",100,0,"unpl","5/1","4/1",69,149,-100,15176.6,28600,24.1258741258741,52.0979020979021,53.065034965035,"G3 NC. Main dangers are some way off hurdles rating of SP but do get some wt and looked good on ch debuts. But this one impressed on his own debut and there have been excuses since. Fav for G3 lto but bled. CD should suit and is chanced to come out on top.
Game effort  from the front but not good enough to give weight to two of the three dangers. Jumped well doing nothing wrong but the winner was always travelling a stride better in 2nd and took over easily two out. Finished third.",6,5
"287",287,2022-09-27,"Cork","Affogato",100,0,"unpl","7/1","5/1",69,149,-100,15076.6,28700,24.0418118466899,51.9163763066202,52.5317073170732,"Stablemate heavy support so far but not at best this year & Keane rides this and official mks are equal. No chance in G1 last time and time before was fav to  beat another stablemate in G3 who won the race, - saddle slipped and couldn't be ridden in the finish.
So neither of them won it but the other beat mine and she ran very flat. Racing on the inside rail she needed a split and looked to be going well but when it came there was no response. Wants dropping in trip but that was no excuse.",8,6
"288",288,2022-09-28,"Bellewstown","Sweeping Statement",100,1,"Won*","5/1","7/2",70,150,500,15576.6,28800,24.3055555555556,52.0833333333333,54.0854166666667,"Arguably a bit short given he's been missing the break although suspiciously, not ridden with any real purpose. But in a change of headger & into claiming company I'll chance him getting out from a low draw and if on terms has every chance at these weights.
Good ride by Shane Foley, getting him out level this time and taking a good pitch in 3rd on the inside, ridden to lead turning in and had enough to hold a late challenge. Backed late, once out on terms, his rating made him a good bet.",6,4.5
"289",289,2022-09-28,"Bellewstown","No Speed Limit",100,3,"3rd","9/1","6/1",70,151,-100,15476.6,28900,24.2214532871972,52.2491349480969,53.5522491349481,"Long in the tooth but has his ideal conditions to get out quick from a rails draw and make all. Went with zest last time when trying tose tactics over six and not lasting. He's on his lowest mark for a good while and is well below his AW rating
Prominent but the angle was to burn them off and he looked a bit paceless.  With hindsight the horse has a poor strike rate even at CD, though draw was ideal today. A long time since I chanced a flat hcp and as ever, so hard to read.",10,7
"290",290,2022-09-29,"Clonmel","Politicise",100,2,"2nd","11/4","4/1",70,152,-100,15376.6,29000,24.1379310344828,52.4137931034483,53.0227586206897,"A claiming hurdle with this a standout at the weights. Needs to bounce back from a poor run in similar co last time, although much better weighted this time.
Weak in the face of support elsewhere and a huge gamble was landed. He ran well and beat the rest comfortably but just couldn't get to the front running leader who was backed from 25/1 to 100/30fav - didn't have chance to bail.",3.8,5
"291",291,2022-09-29,"Bellewstown","Tai Sing Yeh",100,0,"unpl","7/1","6/1",70,152,-100,15276.6,29100,24.0549828178694,52.233676975945,52.4969072164948,"2nd to a thriving sort over CD yesterday when drawn wide and finishing well to beat mine. Front runners favoured so will need to get a better pitch but drawn inside so positioned to do so. Strong pace so should be there in the finish. 7lb claimer now.
Missed the break, pushed wider than ideal and never saw the lead. A hopeless performance and trying to second guess how these handicaps will be run is a losers game. I'm done with it.",8,7
"292",292,2022-09-30,"Hexham","Dromolought Lad",100,0,"PU","28/1","28/1",70,152,-100,15176.6,29200,23.972602739726,52.0547945205479,51.9746575342466,"2nd run for good yd trying step up to 23f. Placed in an Irish mdn, backed for a seller at Rasen, against better horses than these. Better than result maybe needed run more than anticipated. No indication trip will suit but Walford may have seen something.
Saddle slipped very soon after the start and was quickly pulled up.",29,29
"293",293,2022-09-30,"Gowran","Katy Tay",100,0,"unpl","4.6ex","3/1",70,152,-100,15076.6,29300,23.8907849829352,51.877133105802,51.4559726962457,"A listed mare's bumper, standard setter below all TWRs a& held in G3 last time without excuse. Leaves it open to an improver and Mullins runs this mare who improved on her 1st run for yard to win odds on. Step up in grade suggests she's well thought of.
Only I can get a Mullins bumper runner beat, and especially at Gowran which is an absolute nemesis track. Anchored at the back before some brief headway which came to absolutley nothing. Miserable effort.",4.6,4
"294",294,2022-10-01,"Ascot","Rohaan",100,1,"Won*","100/30","3/1",71,153,334,15410.6,29400,24.1496598639456,52.0408163265306,52.4170068027211,"Plenty of boxes ticked. Top on both ratings, drops back from a third in a G1, and best form over CD. Downsides are that he tends to race in rear which is always a risk, and that its quite a deep race, but that gives him a backable price.
Perfectly to plan. Held up in last two, headway when briefly short of room inside last two but squeezed through to get well on top at the line. Straightforward.",4.3,4
"295",295,2022-10-02,"Tipperary","Snapraeterea",100,0,"unpl","14ex","12/1",71,153,-100,15310.6,29500,24.0677966101695,51.864406779661,51.9003389830509,"Chancing that is in need of this trip on soft. Best official rating in the race based on these conditions. Hasn't had it in 3 starts since winning a listed race at Cork last year, running badly each time. High draw ok here but widest is risky. Price compensates a bit.
Worst performance of anything I've backed all year. Ignored the market weakness and got what I deserved. Fell out the stalls and that was that, but never got out of the back three and heavily eased after all chance gone to trail in last.",15,13
"296",296,2022-10-04,"Galway","Iberique Du Seuil",100,0,"unpl","4.6ex","3/1",71,153,-100,15210.6,29600,23.9864864864865,51.6891891891892,51.3871621621622,"Fav not bred for chasing tho did ok on debut despite less than fluent; yard has poor strike rate. Elliot looking to take advantage of the over generous 4yo allowance with a G2 hdl winner whose adjusted rating wins this if he jumps. Needed run on reappearance.
Fav absolutley hacked up. Raced in third and made what looked like a decisive move to go second closing the gap effortlessly but that was it. He got tired  quickly and gradually faded out of contention. I wonder about this 4yo angle.",4.6,4
"297",297,2022-10-05,"Kempton","Mutafawwig",100,1,"Won*","9/2R4","7/2",72,154,405,15615.6,29700,24.2424242424242,51.8518518518518,52.5777777777778,"Tight  but this is top on both ratings and there are questions over those close to him. Lightly raced 6yo; smart form in defeat at Meydan earlier in the year, not seen to best effect in a G1 lto though had little chance. Absence not usually a concern for this yard
Maybe not as tight as it was made out to be as he won comfortably under a good ride from Probert. Got out well and then took a lead, going well, he made a move to strike at the cutaway and took over, always holding the favourite.",5.5,4.5
"298",299,2022-10-07,"Newmarket","Creative Flair",100,1,"Won*","8/1","8/1",73,155,800,16315.6,29900,24.4147157190635,51.8394648829431,54.5672240802676,"Appleby should have this ready after shaping amiss in the US in a G1 when last seen. Won a G2 at Meydan prior and escapes a penalty for this. She's 2nd top rated but trainer has lines to the dangers and at this price she has to be a bit of value in a open race.
Great ride by Buick, front running and having the field on the stretch from two out, holding the favourite and another who was getting going late. Cant ignore these connections this year and for once I was on.",9,9
"299",300,2022-10-08,"Curragh","Pretty Rebel",100,0,"unpl","4.4ex","9/4",73,155,-100,16215.6,30000,24.3333333333333,51.6666666666667,54.052,"Clear best form for mares listed event (ignoring claims) in a race  short on lightly raced progressive types. She likes the ground, has an ok draw so is taken to score a third course win. The price is nothing to write home about but the chance is obvious.
Ruby Walsh didn't believe her rating and he might be right. Losing the 7lb claim might have been significant. But notwithstanding, she ran pretty flat losing ground near the finish. The winner was impossible so not a race to dwell on.",4.4,3.2
"300",301,2022-10-08,"Newmarket","Manaafith",100,0,"unpl","8/1","15/2",73,155,-100,16115.6,30100,24.2524916943522,51.4950166112957,53.5401993355482,"Has a lot to find on figures but this race tends to go to a progressive 3yo and she was hugely impressive winning a hcp lto. Not my type normally but she quickened instantly to make a mockery of her mark and I think she has the scope to be up to this class.
Nowhere near good enough. Must stop speculating on horses that don't have the numbers. The impression was striking at Kempton but the form well below that required to win races like this. Wouldn't have had the winner though.",9,8.5
"301",302,2022-10-13,"Tramore","Silver Gazette",100,3,"3rd","5.3ex","100/30",73,156,-100,16015.6,30200,24.1721854304636,51.6556291390728,53.0317880794702,"A weak maiden but if not for a couple from big stables this would look especially good. Every one of his completed starts is a better number than anything else in the race has managed and he was set to run to a similar level on the other. Shorter trip might suit.
Ran a solid race but found a couple too good. The De Bromhead horse looked the winner but was done on the line by an outsider that wasn't feasible.",5.3,4.3
"302",303,2022-10-13,"Tramore","Champagnesocialist",100,2,"2nd","3/1","2/1",73,157,-100,15915.6,30300,24.0924092409241,51.8151815181518,52.5267326732673,"Two decent rivals to beat but  looked a good prospect hacking up in a Downpatrick bumper on second run back from a lengthy break. That’s marginally the best number achieved of the three principals and she's worth a chance to prove her merit over jumps.
Gave a lead to one of her main rivals and couldn't get away from her. Again an outsider would have been in the frame and she'd have been third but that one came down. Just picked the wrong one and disappointing.",4,3
"303",304,2022-10-14,"Dundalk","Ghumama",100,0,"unpl","12/1","5/1",73,157,-100,15815.6,30400,24.0131578947368,51.6447368421053,52.025,"A speculative call for this apprentice claimer. Below best of late but returns to CD of last win, is better on this surface and is one of two best at wts. Inevitably has a wide draw to overcome but most of main rivals are in the top half.
Disaster. Chopped and changed between two horses all day and landed on the wrong one. Put off by a massive discrepency in BF price. Mine was undone by wide draw as had to tuck in and had no run in straight. Stupid mistake.",13,6
"304",305,2022-10-15,"Leopardstown","Lyrical Poetry",100,3,"3rd","5/1","5/2",73,158,-100,15715.6,30500,23.9344262295082,51.8032786885246,51.5265573770492,"Top on both ratings and down in class so price works, but truely phenomenal how often my selections have an extreme draw. Inside this time, so will need a run. Last time at listed level she didn't deliver, but overall form is best. JoB improver to beat.
Heavily backed, tried to win from the front and couldn't stave off a stable mate and an unexposed one who didn't have the form in the book but was better than result at this level on second run lto. Front running is so hard to pull off.",6,3.5
"305",306,2022-10-16,"Cork","Ocean Of Mercy",100,2,"2nd","5/2","15/8",73,159,-100,15615.6,30600,23.8562091503268,51.9607843137255,51.0313725490196,"Needs to improve a bit on hurdles debut but bumper form suggests that’s possible and lookes the percentage call. A last flight error on debut over timber cost him late. Form nothing special but others unappealing including Byrnes trained favourite.
Tried to make all and had them all cooked bar one who was cruising over the last, left behind once that one was sent on though clear of the rest. Right call as I couldn't have fancied the winner but this is a nasty run now.",3.5,2.9
"306",307,2022-10-16,"Naas","Seisai",100,0,"unpl","7/1","13/2",73,159,-100,15515.6,30700,23.7785016286645,51.7915309446254,50.5394136807818,"Fav sets standard but this filly just behind. Interesting going to 12f for first time. Bred more for stamina she made up lots of late ground on one of her rivals lto in a 10f Group 2 so distance angle worth chancing at this price down into listed company.
Sat at the back and couldn't find enough when asked to improve on the outside, running on just out of the frame. Bad week.",8,7.5
"307",308,2022-10-17,"Pontefract","Indefatigable",100,0,"unpl","6/1","7/2",73,159,-100,15415.6,30800,23.7012987012987,51.6233766233766,50.0506493506494,"Not keen on translating jumps ratings but on any scale this mare is well in at these weights if she gives her running. Big if, and no way I'd touch this but for the positive that she'd won at this track on one of just two flat runs. Extreme test here could suit.
Not much between the principals at the line, suggesting a steady pace which wouldn't have suited. But that said I think the run was needed, she looked like staying on late but weakened through the last 200yds. Wheels are off.",7,4.5
"308",309,2022-10-18,"Kempton","Howzak",100,1,"Won*","11/4","9/4",74,160,275,15690.6,30900,23.9482200647249,51.7799352750809,50.778640776699,"A rare 5f hcp at Kempton and Howzak seems to have the right credentials for this unique AW test, fast way in-form front runner with a low draw. If he gets out he could be very hard to catch. I got in last night ahead of Hugh Taylor.
Textbook 5f Kempton and exactly to plan. Out smartly led into final bend and a slingshot off the turn in with enough to hold the late challengers up the short straight. Price nothing to write home about but something to bet on for sure.",3.8,3.2
"309",310,2022-10-20,"Thurles","In A Nice Way",100,0,"PU","22/1","16/1",74,160,-100,15590.6,31000,23.8709677419355,51.6129032258064,50.2922580645161,"Looks to have been brought along for handicaps but the drop back to 2m was a a negative on her first venture. A step up to this 23f off a pound lower in modest mares only company gives her the opportunity to perform if the ability is there.
Well beaten. Sat in last pair, made a couple of errors and found nothing when asked to improve with a circuit to run. Just on the complete wrong track with this one.",23,17
"310",311,2022-10-21,"Dundalk","Affable",100,0,"unpl","6.6ex","4/1",74,160,-100,15490.6,31100,23.7942122186495,51.4469453376206,49.8090032154341,"A very tight claimer but this mare worth chancing as she's coming into this from better handicaps than main rivals who mostly have queries. Excuse last time on ground but numbers fairly regular aside from that and Billy Lee takes over from apprentices.
Travelled ok but once in the straight her head went to one side and she didn't want to know. Fran Berry said before ther race that he wasn't convinced she was putting it all in lately and he proved to be right. Right to take on favourite.",6.6,5
"311",312,2022-10-22,"Leopardstown","Glounthaune",100,0,"unpl","5.3ex","5/1",74,160,-100,15390.6,31200,23.7179487179487,51.2820512820513,49.3288461538462,"Just edges the official ratings but has to be forgiven a poor run in a french G2 lto. Previous 2nd at that level good enough if not flattered. Main rival was an unlucky 2nd at this level just 6days ago but that was fillies only. Class drop swings it.
The G2 second was obvioulsy a fluke as it ran nowhere near the level that that result suggested he might be capable of. I had a shortlist of three but the winner was the one I was least keen on and really had it down to two.",5.3,6
"312",313,2022-10-23,"Limerick","Kiki Badger",100,1,"Won*","3.7ex","5/4",75,161,257,15647.6,31300,23.961661341853,51.4376996805112,49.9923322683706,"Has three bumper scores that comfortably win this race. Byrnes favourite looks too short and Mullins will inevitably be a threat if improving off debut, but hasn't the figures to warrant suporting. Possibly be happier with further but numbers encouraging.
Strong support was justified as he travelled well behind the leading group, picked up the leader and went clear with the Mullins runner. The further they went the more he looked like asserting over that one and won a shade cosily.",3.7,2.2
"313",314,2022-10-23,"Curragh","Emily Dickinson",100,1,"Won*","4/1","5/2",76,162,400,16047.6,31400,24.203821656051,51.5923566878981,51.1070063694268,"Bit to  find on TFRs (not on officials) but  test of stamina looks sure to suit, going two miles for the first time after doing her best work late in the Champion distaff at Ascot off a steady pace. She's run at the highest level this year and takes a hefty class drop.
This is what she wanted. Travelled in midfield, took a while to find room from the two, but once in the clear she stayed on powerfully, passing the favourite with ease to go right away from her field. In a different league to the rest.",5,3.5
"314",315,2022-10-24,"Leicester","Sisters In The Sky",100,2,"2nd","9/4","11/8",76,163,-100,15947.6,31500,24.1269841269841,51.7460317460318,50.6273015873016,"This claimer takes little winning, Main two rivals beatable, too short for one, other won a weak seller last time. This top on all ratings and comes into this from a better race. Struggling hcps, although has been higher rated, so this is a viable route to get a win.
The last time winner looked there for the taking as she cruised but just couldn't get past. Nothing wrong with attitude as she kept rallying with the winner leaning into her but it wouldn't happen. I think on faster ground she wins.",3.2,2.4
"315",316,2022-10-26,"Kempton","Beau Jardine",100,0,"unpl","16/1","11/1",76,163,-100,15847.6,31600,24.0506329113924,51.5822784810127,50.1506329113924,"Nothing between this and fav at weights though shown nothing for this yard this year. But this is a big drop in class and he's plummetted in the wts trying a drop in trip from a low draw. If there's any trace of his former ability he should go close at a big price.
Beaten after 50yds; shuffled to the back and back in trip that was it. Never in it. I didn't really fancy the fav and he was well beaten but the race was all about a Butler gamble on one that had no chance on paper. They don't lose.",17,12
"316",317,2022-10-27,"Lingfield","Internationalangel",100,3,"3rd","5.4ex","4/1",76,164,-100,15747.6,31700,23.9747634069401,51.7350157728707,49.6769716088328,"Likeable sort who's form stands inspection, top rated on both scales. Arrives on the back of a good effort in a 7f G2 at Newmarket and  has an excellent record on this surface. Back down in grade so plenty of boxes ticked today.
Every chance but couldn't find enough behind a couple that she ought to have beaten on paper. But the winner was back on AW  first time this year and Haggas is always to be feared. These fillies listed races proving hard to read.",5.4,5
"317",318,2022-10-29,"Galway","Itswhatunitesus",100,2,"2nd","3.75ex","15/8",76,165,-100,15647.6,31800,23.8993710691824,51.8867924528302,49.2062893081761,"Elliot starting to get his better prospects out and with the other two main rivals looking like they might need further to show their optimum and this one having the best bumper form anyway, this is a reasonable price to have a go at.
Managed to find the Elliot horse that didn't win! As I often do. Just second best to his main market rival. Didn't jump particularly well and was a fresh sort in a hood. The winner was always cruising in behind and won easily.",3.75,2.9
"318",319,2022-10-30,"Galway","Sam's Choice",100,3,"3rd","4.3ex","5/2",76,166,-100,15547.6,31900,23.8244514106583,52.0376175548589,48.7385579937304,"Normally I'd avoid one with too many losing runs over timber taking on bumper winners, but the those with that profile don't quite come up to the best of this runner and I think he might have faced some decent opposition in defeat, so he's given the chance.
The two debutants were the best in the race and its clear that the form is now favouring proper NH prospects as Autumn goes forward. This horse clearly has  limitations and there's unlikely to be more to come.",4.3,3.5
"319",320,2022-10-31,"Wexford","Cayd Boy",100,2,"2nd","3/1","11/4",76,167,-100,15447.6,32000,23.75,52.1875,48.27375,"Highest rated hurdler (2nd after sex allowance); but has chase experience at a very solid level. Good second in this last year before 3rd to two horses that would be very short for this. The percentage call over his three main rivals here.
This time the mares allowance was enough as the favourite won well enough. They seemed to go quick but Walsh was still a bit further off the front than ideal and he seemed to get anxious as he made ground but couldn't close.",4,3.8
"320",321,2022-11-01,"Southwell","Captain Vallo",100,1,"Won*","5/1","3/1",77,168,500,15947.6,32100,23.98753894081,52.3364485981308,49.6809968847352,"Start of the Winter All Weather regime. This this was backed last time and has the most positive profile of the three with optimum style and position. Missed the early prices but this still has a bit of value about it.
Strong in the market all day this horse has clearly been showing something and though he got shuffled a bit farther back than ideal, he had plenty under the bonnet when asked to make up his ground and was nicely on top late.",6,4
"321",322,2022-11-02,"Dundalk","Finke River",100,1,"Won*","7/1","4/1",78,169,700,16647.6,32200,24.223602484472,52.4844720496894,51.7006211180124,"Lightly raced and typically for yd has run over variety of trips. Hard to know best but 10f def too far last time and other hcp runs a bit unlucky when short of room. Well drawn he should get a pitch and should be strong at the end as he gets further.
Raced in a clear third which was more forward than I expected and Foley was never in danger of hitting trouble. Ridden to challenge from the turn in and always beating the pace horse with nothing coming from behind. Well backed.",8,5
"322",323,2022-11-03,"Chelmsford","Legende D'Art",100,0,"unpl","6/1","4/1",78,169,-100,16547.6,32300,24.1486068111455,52.3219814241486,51.230959752322,"Not seen to best effect over 6f on first run since the Spring. Twice a CD winner last season, well drawn to race prominently and this extra furlong is what he needs. Others well positioned are out of form with mkt dangers needing to overcome wider draws.
Awful run. Squeezed up coming out of the boxes and was far too far back; in last two three out, impossible to win from there at this track. Driven into the straight but it was futile. Needs to break better. Winner made all from 1",7,5
"323",324,2022-11-04,"Newcastle","Cosmos Raj",100,0,"unpl","17/2","9/2",78,169,-100,16447.6,32400,24.0740740740741,52.1604938271605,50.7641975308642,"Tudhopes choice of two runners for O'Meara. Consistent sort, chased home a useful one at Newcastle this time last year but is very unexposed on this surface and recent efforts at 10f leave the impression that the return to 1m here ought to really suit.
Tudhope chose wrong though the other didn't win. Well backed, travelled well in rear and was looking for gaps looking like he'd be through if he got one, but the response was disappointing and he missed the frame, finishing fourth.",9.5,5.5
"324",325,2022-11-04,"Newcastle","Kapono",100,0,"unpl","11/2","9/2",78,169,-100,16347.6,32500,24,52,50.3003076923077,"Taking the high drawn finshers to hold sway here and two look interesting. Other may need 7f but this horse hacked up at Redcar recently. Excuses last time on heavy over further. For some reason he's up 10lb on AW after this run.
V similar to previous race, in rear before making late headway but got going much too late and his effort petered out in the last 100 yards as he failed to get into the frame - 4th. AW will be tricky with some losing runs so nerve reqd.",6.5,5.5
"325",326,2022-11-04,"Dundalk","Juncture",100,1,"Won*","3/1","5/2",79,170,300,16647.6,32600,24.2331288343558,52.1472392638037,51.0662576687117,"Waited for 3/1. One of three propables. One drawn very wide and may need further  the other a stable mate stepping up from winning a hcp off 88 and Keane prefers this. Should be up to winning this down from G3 with drop to a mile a help
Discipline needed for on course price after shortening up during the day. Two main rivals flopped so she had things on a plate. Jumped well, raced in midfield, always looking llike getting there as he wound her up down the outside.",4,3.5
"326",327,2022-11-05,"Doncaster","Life Of Dreams",100,0,"unpl","11/2","11/2",79,170,-100,16547.6,32700,24.1590214067278,51.9877675840979,50.6042813455658,"Favourite loses a 5lb claim and has looked a bit awkward. This fily matches her rating after claims. V lightly raced & unproven on heavy but down in class. TF suggest she has more to offer at further so a test of stamina at this trip may suit if she goes on it.
Desparately one paced once with a clear view of the front, as I anticipating her staying on to outclass the field she found nothing, fading right out of it. Possible she hated the ground but travelled ok to a point. Balding won it as usual.",6.5,6.5
